dimension_id,indicator,value,table_id
38398f64-d638-497a-ad15-2ae524d80391,2010-2020,5 (16.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
e80139a0-9a0a-4da9-9923-47abd885ba16,2010-2020,12 (40.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
1ba6d074-32bd-4e9b-8bbf-552df8884c86,2010-2020,9 (30.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
3b4011f1-8598-4537-8378-eaacecc34e45,2010-2020,5 (16.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
5e5a0f86-bd00-480d-9878-d1b334f6e813,2010-2020,7 (23.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
2902d393-486e-4ef8-8a71-e7a20f5c749e,2010-2020,7 (23.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
b5b52a68-727b-4e4c-ae9d-85a516f4ebe0,2010-2020,5 (16.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
e01a79da-e454-4068-86e5-3716b63862b4,2010-2020,3 (10.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
4b0162a3-974a-4713-a86e-75d0b4570776,2010-2020,7 (23.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
a8bdbbd1-3bb2-48b1-aa78-aa69988fca88,2010-2020,3 (10.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
cdd51a77-f5c4-4c71-9765-7bba9177f17a,2010-2020,4 (13.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
a3888943-b87b-44c5-8b7a-362419175eb4,2010-2020,7 (23.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
fb6b1679-98d3-4f92-bbbd-ddc5e928514a,2010-2020,6 (20.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
4b6b4104-9ea8-4f1d-83bc-142dcc2c8dbd,2010-2020,8 (26.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
cf145019-b2dd-428f-9d85-36af5941d916,2010-2020,6 (20.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
7848402f-1ea7-4a3a-a80a-cbed65eb1340,2010-2020,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
e25b4fa0-b089-40b0-bba4-b50702887fdb,2010-2020,19 (63.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
934bdf4e-58d6-44a6-b394-697c12c35ebf,2010-2020,10 (33.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
1aaec226-b734-4cc8-925d-dbec751c072d,2010-2020,12 (40.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
46c9c7c7-97de-4f1c-8d0e-8d5b29165bed,2010-2020,5 (16.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
8b3d094a-3fce-4d4d-9015-25a8cc7d86d7,After 2020,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
10b6f615-4535-4ef9-afe6-437fe4421058,After 2020,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
255078de-af6a-40e9-9cb5-20360118727e,After 2020,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
698486ff-f6ed-41b5-84db-4b3344f0effd,After 2020,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
91fe29fc-333e-416a-a150-64d4f7c95801,After 2020,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
adc39079-b3c2-43b4-be31-dd26a4c74fe9,After 2020,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
f2505be2-1204-4e04-a43b-988cf146ec43,After 2020,2 (6.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
9f5349cf-3aea-430e-b8dc-dc5dc0e979b7,After 2020,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
38398f64-d638-497a-ad15-2ae524d80391,After 2020,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
e80139a0-9a0a-4da9-9923-47abd885ba16,After 2020,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
1ba6d074-32bd-4e9b-8bbf-552df8884c86,After 2020,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
3b4011f1-8598-4537-8378-eaacecc34e45,After 2020,2 (6.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
5e5a0f86-bd00-480d-9878-d1b334f6e813,After 2020,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
2902d393-486e-4ef8-8a71-e7a20f5c749e,After 2020,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
b5b52a68-727b-4e4c-ae9d-85a516f4ebe0,After 2020,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
e01a79da-e454-4068-86e5-3716b63862b4,After 2020,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
4b0162a3-974a-4713-a86e-75d0b4570776,After 2020,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
a8bdbbd1-3bb2-48b1-aa78-aa69988fca88,After 2020,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
cdd51a77-f5c4-4c71-9765-7bba9177f17a,After 2020,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
a3888943-b87b-44c5-8b7a-362419175eb4,After 2020,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
fb6b1679-98d3-4f92-bbbd-ddc5e928514a,After 2020,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
4b6b4104-9ea8-4f1d-83bc-142dcc2c8dbd,After 2020,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
cf145019-b2dd-428f-9d85-36af5941d916,After 2020,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
7848402f-1ea7-4a3a-a80a-cbed65eb1340,After 2020,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
e25b4fa0-b089-40b0-bba4-b50702887fdb,After 2020,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
934bdf4e-58d6-44a6-b394-697c12c35ebf,After 2020,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
1aaec226-b734-4cc8-925d-dbec751c072d,After 2020,0 (0.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
46c9c7c7-97de-4f1c-8d0e-8d5b29165bed,After 2020,1 (3.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
